order_id,customer_id,date,product,category,price,quantity,store
1001,2001,2024-01-05,Laptop,Electronics,899.99,1,Online
1002,2002,2024-01-06,Mouse,Electronics,19.99,2,Online
1003,2003,2024-01-06,Keyboard,Electronics,49.99,1,Physical
1004,2001,2024-01-07,Monitor,Electronics,199.99,1,Online
1005,2004,2024-01-08,Coffee Maker,Home,89.99,1,Physical
1006,2005,2024-01-08,Blender,Home,59.99,1,Online
1007,2002,2024-01-09,Laptop,Electronics,899.99,1,Physical
1008,2006,2024-01-09,Chair,Furniture,149.99,2,Online
1009,2007,2024-01-10,Desk,Furniture,249.99,1,Online
1010,2008,2024-01-11,Vacuum Cleaner,Home,129.99,1,Physical
